airport;airportname;city;state;latitude;longitude;altitude;operation
SBLP;BOM JESUS DA LAPA;BOM JESUS DA LAPA;BA;13° 15' 41'' S;43° 24' 27'' W;443 m;VFR Diurno/Noturno e IFR Diurno
SBMA;JOÃO CORREA DA ROCHA;MARABÁ;PA;5° 22' 4'' S;49° 8' 18'' W;109 m;VFR Diurno/Noturno e IFR Diurno/Noturno
SBMD;MONTE DOURADO;ALMEIRIM;PA;0° 53' 23'' S;52° 36' 8'' W;206 m;VFR Diurno/Noturno e IFR Diurno/Noturno
SBME;MACAÉ;MACAÉ;RJ;22° 20' 34'' S;41° 45' 50'' W;2 m;VFR Diurno/Noturno e IFR Diurno/Noturno
SBMG;SÍLVIO NAME JÚNIOR;MARINGÁ;PR;23° 28' 46'' S;52° 0' 44'' W;545 m;VFR Diurno/Noturno e IFR Diurno/Noturno
SBMK;MÁRIO RIBEIRO;MONTES CLAROS;MG;16° 42' 22'' S;43° 49' 19'' W;668 m;VFR Diurno/Noturno e IFR Diurno/Noturno
SBML;FRANK MILOYE MILENKOVICH;MARÍLIA;SP;22° 11' 44'' S;49° 55' 37'' W;650 m;VFR Diurno/Noturno e IFR Diurno/Noturno
SBMO;ZUMBI DOS PALMARES;MACEIÓ;AL;9° 31' 2'' S;35° 47' 1'' W;118 m;VFR Diurno/Noturno e IFR Diurno/Noturno
SBMQ;ALBERTO ALCOLUMBRE;MACAPÁ;AP;0° 3' 3'' N;51° 4' 13'' W;17 m;VFR Diurno/Noturno e IFR Diurno/Noturno
SBMS;DIX-SEPT ROSADO;MOSSORÓ;RN;5° 11' 45'' S;37° 21' 42'' W;23 m;VFR Diurno e IFR Diurno/Noturno
SBMT;CAMPO DE MARTE;SÃO PAULO;SP;23° 30' 24'' S;46° 38' 2'' W;722 m;VFR Diurno/Noturno
SBMY;MANICORÉ;MANICORÉ;AM;5° 49' 1'' S;61° 17' 2'' W;53 m;VFR Diurno
SBNF;MINISTRO VICTOR KONDER;NAVEGANTES;SC;26° 52' 43'' S;48° 39' 3'' W;5 m;VFR Diurno/Noturno e IFR Diurno/Noturno
SBNM;SANTO ÂNGELO;SANTO ÂNGELO;RS;28° 16' 54'' S;54° 10' 6'' W;322 m;VFR Diurno/Noturno e IFR Diurno/Noturno
SBOI;OIAPOQUE;OIAPOQUE;AP;3° 51' 41'' N;51° 47' 46'' W;19 m;VFR Diurno e IFR Diurno
SBPA;SALGADO FILHO;PORTO ALEGRE;RS;29° 59' 38'' S;51° 10' 16'' W;3 m;VFR Diurno/Noturno e IFR Diurno/Noturno
SBPB;AEROPORTO INTERNACIONAL DE PARNAÍBA / PREFEITO DOUTOR JOÃO SILVA FILHO;PARNAÍBA;PI;2° 53' 38'' S;41° 43' 49'' W;5 m;VFR Diurno/Noturno
SBPC;EMBAIXADOR WALTHER MOREIRA SALLES;POÇOS DE CALDAS;MG;21° 50' 16'' S;46° 33' 58'' W;1260 m;VFR Diurno/Noturno e IFR Diurno
SBPF;LAURO KURTZ;PASSO FUNDO;RS;28° 14' 43'' S;52° 19' 43'' W;724 m;VFR Diurno/Noturno e IFR Diurno/Noturno
SBPJ;BRIGADEIRO LYSIAS RODRIGUES;PALMAS;TO;10° 17' 24'' S;48° 21' 28'' W;236 m;VFR Diurno/Noturno e IFR Diurno/Noturno
SBPK;PELOTAS;PELOTAS;RS;31° 42' 58'' S;52° 19' 52'' W;18 m;VFR Diurno/Noturno e IFR Diurno/Noturno
SBPL;SENADOR NILO COELHO;PETROLINA;PE;9° 22' 3'' S;40° 33' 49'' W;384 m;VFR Diurno/Noturno e IFR Diurno/Noturno
SBPN;PORTO NACIONAL;PORTO NACIONAL;TO;10° 43' 1'' S;48° 24' 1'' W;265 m;VFR Diurno/Noturno
SBPP;PONTA PORÃ;PONTA PORÃ;MS;22° 32' 59'' S;55° 42' 9'' W;657 m;VFR Diurno e IFR Diurno/Noturno
SBPR;CARLOS PRATES;BELO HORIZONTE;MG;19° 54' 33'' S;43° 59' 21'' W;928 m;VFR Diurno
SBPS;PORTO SEGURO;PORTO SEGURO;BA;16° 26' 17'' S;39° 4' 40'' W;51 m;VFR Diurno/Noturno e IFR Diurno/Noturno
SBPV;GOVERNADOR JORGE TEIXEIRA DE OLIVEIRA;PORTO VELHO;RO;8° 42' 49'' S;63° 54' 10'' W;88 m;VFR Diurno/Noturno e IFR Diurno/Noturno
SBQV;PEDRO OTACÍLIO FIGUEIREDO;VITÓRIA DA CONQUISTA;BA;14° 51' 49'' S;40° 51' 47'' W;915 m;VFR Diurno/Noturno e IFR Diurno/Noturno
SBRB;PRESIDENTE MÉDICI;RIO BRANCO;AC;9° 52' 8'' S;67° 53' 53'' W;193 m;VFR Diurno/Noturno e IFR Diurno/Noturno
SBRD;RONDONÓPOLIS (*SWRD);RONDONÓPOLIS;MT;16° 35' 7'' S;54° 43' 27'' W;447 m;VFR Diurno/Noturno
SBRF;GUARARAPES - GILBERTO FREYRE;RECIFE;PE;8° 7' 35'' S;34° 55' 22'' W;10 m;VFR Diurno/Noturno e IFR Diurno/Noturno
