airport;airportname;city;state;latitude;longitude;altitude;operation
SNYE;PINHEIRO;PINHEIRO;MA;2° 29' 1'' S;45° 4' 2'' W;38 m;VFR Diurno
SNYT;ITUAÇU;ITUAÇU;BA;13° 49' 43'' S;41° 18' 8'' W;535 m;VFR Diurno
SNYU;AERÓDROMO DE ITURAMA;ITURAMA;MG;19° 43' 4'' S;50° 13' 3'' W;475 m;VFR Diurno/Noturno
SNZA;POUSO ALEGRE;POUSO ALEGRE;MG;22° 17' 20'' S;45° 55' 10'' W;885 m;VFR Diurno
SNZR;PARACATU;PARACATU;MG;17° 14' 35'' S;46° 52' 53'' W;719 m;VFR Diurno
SNZW;ITUBERÁ;ITUBERÁ;BA;13° 43' 54'' S;39° 8' 26'' W;7 m;VFR Diurno
SSAB;MOISÉS LUPION;IBAITI;PR;23° 45' 47'' S;50° 15' 53'' W;600 m;VFR Diurno
SSAE;ARROIO GRANDE;ARROIO GRANDE;RS;32° 13' 27'' S;53° 4' 2'' W;49 m;VFR Diurno
SSAK;CARLOS RUHL;CRUZ ALTA;RS;28° 39' 28'' S;53° 36' 38'' W;470 m;VFR Diurno
SSAN;JOÃO GALDINO;ANDIRÁ;PR;23° 1' 37'' S;50° 13' 42'' W;490 m;VFR Diurno
SSAP;CAPITÃO JOÃO BUSSE;APUCARANA;PR;23° 36' 44'' S;51° 23' 6'' W;805 m;VFR Diurno/Noturno
SSAQ;AEROCLUBE DE PASSO FUNDO;PASSO FUNDO;RS;28° 15' 2'' S;52° 31' 0'' W;600 m;VFR Diurno
SSBD;SOBRADINHO;SOBRADINHO;RS;29° 23' 47'' S;52° 59' 30'' W;440 m;VFR Diurno
SSBE;CAMAPUÃ;CAMAPUÃ;MS;19° 35' 52'' S;54° 1' 9'' W;563 m;VFR Diurno
SSBJ;BOM JESUS;BOM JESUS;RS;28° 36' 46'' S;50° 26' 58'' W;1071 m;VFR Diurno
SSBL;BLUMENAU;BLUMENAU;SC;26° 49' 58'' S;49° 5' 37'' W;18 m;VFR Diurno
SSBN;BELÉM NOVO;PORTO ALEGRE;RS;30° 11' 16'' S;51° 10' 58'' W;6 m;VFR Diurno
SSBR;YARA;BANDEIRANTES;PR;23° 4' 22'' S;50° 25' 23'' W;402 m;VFR Diurno
SSBV;BELA VISTA;BELA VISTA;MS;22° 4' 56'' S;56° 32' 18'' W;235 m;VFR Diurno
SSCB;MUNICIPAL DE CASA BRANCA;CASA BRANCA;SP;21° 47' 17'' S;47° 3' 20'' W;712 m;VFR Diurno
SSCD;CHAPADÃO DO SUL;CHAPADÃO DO SUL;MS;18° 50' 16'' S;52° 29' 12'' W;806 m;VFR Diurno/Noturno
SSCI;COXIM;COXIM;MS;18° 28' 53'' S;54° 42' 57'' W;292 m;VFR Diurno
SSCK;OLAVO CECCO RIGON;CONCÓRDIA;SC;27° 10' 50'' S;52° 3' 4'' W;750 m;VFR Diurno/Noturno
SNPU;PARAGUAÇU;PARAGUAÇU;MG;21° 33' 41'' S;45° 45' 17'' W;898 m;VFR Diurno
SSCN;CANELA;CANELA;RS;29° 22' 14'' S;50° 49' 56'' W;827 m;VFR Diurno/Noturno
SSCP;FRANCISCO LACERDA JÚNIOR;CORNÉLIO PROCÓPIO;PR;23° 9' 10'' S;50° 36' 10'' W;565 m;VFR Diurno
SSCR;RUBEN BERTA;MARECHAL CÂNDIDO RONDON;PR;24° 30' 46'' S;54° 3' 14'' W;430 m;VFR Diurno
SSCT;ENGENHEIRO GASTÃO DE MESQUITA FILHO;CIANORTE;PR;23° 41' 30'' S;52° 38' 32'' W;539 m;VFR Diurno/Noturno
SSDC;DIONÍSIO CERQUEIRA;DIONÍSIO CERQUEIRA;SC;26° 18' 18'' S;53° 37' 48'' W;830 m;VFR Diurno
SSEE;REGIONAL DO VALE DO TAQUARI;ESTRELA;RS;29° 27' 12'' S;51° 56' 3'' W;32 m;VFR Diurno
SSEP;SÃO SEPÉ;SÃO SEPÉ;RS;30° 10' 56'' S;53° 34' 46'' W;153 m;VFR Diurno
SSER;ERECHIM;ERECHIM;RS;27° 39' 36'' S;52° 16' 34'' W;761 m;VFR Diurno
SSES;ENCRUZILHADA DO SUL;ENCRUZILHADA DO SUL;RS;30° 33' 32'' S;52° 34' 57'' W;445 m;VFR Diurno
SSEZ;ESPUMOSO;ESPUMOSO;RS;28° 44' 17'' S;52° 51' 20'' W;390 m;VFR Diurno
SSFB;PAULO ABDALA;FRANCISCO BELTRÃO;PR;26° 3' 34'' S;53° 3' 50'' W;640 m;VFR Diurno/Noturno
SSFL;JOÃO PEREIRA DOS SANTOS FILHO;FRONTEIRAS;PI;7° 6' 0'' S;40° 37' 37'' W;447 m;VFR Diurno/Noturno
SSGA;GARIBALDI;GARIBALDI;RS;29° 16' 6'' S;51° 31' 56'' W;680 m;VFR Diurno
SSGB;MUNICIPAL DE GUARATUBA;GUARATUBA;PR;25° 52' 50'' S;48° 36' 44'' W;15 m;VFR Diurno
SSGR;GUAPORÉ;GUAPORÉ;RS;28° 53' 41'' S;51° 51' 19'' W;475 m;VFR Diurno
SSGW;MANOEL RIBAS;GOIOERÊ;PR;24° 13' 15'' S;53° 2' 41'' W;493 m;VFR Diurno
SSGY;GUAÍRA;GUAÍRA;PR;24° 4' 47'' S;54° 11' 17'' W;271 m;VFR Diurno
SSHZ;WALTER BÜNDCHEN;HORIZONTINA;RS;27° 38' 20'' S;54° 20' 28'' W;324 m;VFR Diurno
SSIE;TERUEL IPANEMA ESTÂNCIA;CAMPO GRANDE;MS;20° 35' 58'' S;54° 36' 9'' W;528 m;VFR Diurno
SSIJ;IJUÍ;IJUÍ;RS;28° 22' 12'' S;53° 50' 44'' W;365 m;VFR Diurno
SSIQ;ITAQUI;ITAQUI;RS;29° 10' 23'' S;56° 32' 12'' W;70 m;VFR Diurno
SSIR;IBIRUBÁ;IBIRUBÁ;RS;28° 36' 15'' S;53° 4' 43'' W;457 m;VFR Diurno
SSJA;SANTA TEREZINHA;JOAÇABA;SC;27° 10' 22'' S;51° 33' 6'' W;776 m;VFR Diurno/Noturno
SSJI;JARDIM;JARDIM;MS;21° 29' 34'' S;56° 9' 10'' W;321 m;VFR Diurno
SSJK;JÚLIO DE CASTILHOS;JÚLIO DE CASTILHOS;RS;29° 9' 11'' S;53° 44' 36'' W;498 m;VFR Diurno
SSKG;ESTÂNCIA SANTA MARIA;CAMPO GRANDE;MS;20° 30' 20'' S;54° 31' 29'' W;618 m;VFR Diurno
SSKK;CAPÃO DA CANOA;CAPÃO DA CANOA;RS;29° 45' 49'' S;50° 2' 13'' W;10 m;VFR Diurno
SSKM;GERALDO GUIAS DE AQUINO;CAMPO MOURÃO;PR;24° 0' 9'' S;52° 21' 25'' W;565 m;VFR Diurno/Noturno
SSKS;CACHOEIRA DO SUL;CACHOEIRA DO SUL;RS;30° 0' 8'' S;52° 56' 25'' W;77 m;VFR Diurno
SSKU;LAURO ANTÔNIO DA COSTA;CURITIBANOS;SC;27° 17' 14'' S;50° 36' 14'' W;978 m;VFR Diurno/Noturno
SSKW;CACOAL;CACOAL;RO;11° 29' 44'' S;61° 27' 3'' W;249 m;VFR Diurno/Noturno
SSKZ;CARAZINHO;CARAZINHO;RS;28° 19' 17'' S;52° 48' 56'' W;565 m;VFR Diurno/Noturno
SSLA;LAGUNA;LAGUNA;SC;28° 22' 36'' S;48° 44' 34'' W;6 m;VFR Diurno
SSLG;SÃO LUÍS GONZAGA;SÃO LUIZ GONZAGA;RS;28° 22' 35'' S;55° 2' 15'' W;200 m;VFR Diurno
SSLN;HELMUTH BAUNGARTEM;LONTRAS;SC;27° 9' 37'' S;49° 32' 36'' W;334 m;VFR Diurno
SSLO;ATTILLIO ACCORSI;LOANDA;PR;22° 55' 4'' S;53° 8' 59'' W;470 m;VFR Diurno
SSLS;RUY BARBOSA;RUY BARBOSA;BA;12° 16' 17'' S;40° 31' 50'' W;404 m;VFR Diurno
SSLT;GAUDÊNCIO MACHADO RAMOS;ALEGRETE;RS;29° 48' 45'' S;55° 53' 32'' W;140 m;VFR Diurno
SSMF;HUGO WERNER;MAFRA;SC;26° 9' 32'' S;49° 49' 56'' W;820 m;VFR Diurno
SSMJ;MARACAJU;MARACAJU;MS;21° 38' 2'' S;55° 8' 42'' W;391 m;VFR Diurno
SSMR;MANOEL RIBAS;MANOEL RIBAS;PR;24° 31' 46'' S;51° 39' 6'' W;886 m;VFR Diurno
SSMT;MOSTARDAS;MOSTARDAS;RS;31° 6' 15'' S;50° 54' 44'' W;18 m;VFR Diurno
SSNB;ARIOSTO DA RIVA;NAVIRAÍ;MS;23° 2' 29'' S;54° 11' 6'' W;405 m;VFR Diurno
SSNG;MONTENEGRO;MONTENEGRO;RS;29° 43' 11'' S;51° 29' 20'' W;24 m;VFR Diurno
SSNH;NOVO HAMBURGO;NOVO HAMBURGO;RS;29° 41' 46'' S;51° 4' 54'' W;20 m;VFR Diurno
SSNO;ARMANDO REGINATTO;NONOAI;RS;27° 22' 2'' S;52° 44' 2'' W;600 m;VFR Diurno
SSNP;NOVA PRATA;NOVA PRATA;RS;28° 48' 9'' S;51° 36' 15'' W;690 m;VFR Diurno
SSNQ;NIOAQUE;NIOAQUE;MS;21° 11' 5'' S;55° 49' 49'' W;300 m;VFR Diurno
SSOE;HÉLIO WASUM;SÃO MIGUEL DO OESTE;SC;26° 46' 52'' S;53° 30' 12'' W;665 m;VFR Diurno
SSOG;ARAPONGAS;ARAPONGAS;PR;23° 21' 21'' S;51° 29' 27'' W;792 m;VFR Diurno/Noturno
SSOI;PEDERNEIRAS;PEDERNEIRAS;SP;22° 18' 23'' S;48° 46' 26'' W;536 m;VFR Diurno
SSOL;LAVRAS;LAVRAS;MG;21° 14' 38'' S;44° 58' 10'' W;959 m;VFR Diurno/Noturno
SSOS;OSÓRIO;OSÓRIO;RS;29° 54' 8'' S;50° 15' 2'' W;12 m;VFR Diurno
SSPB;JUVENAL LOUREIRO CARDOSO;PATO BRANCO;PR;26° 13' 4'' S;52° 41' 39'' W;822 m;VFR Diurno/Noturno
SSPG;SANTOS DUMONT;PARANAGUÁ;PR;25° 32' 26'' S;48° 31' 52'' W;5 m;VFR Diurno
SSPI;EDU CHAVES;PARANAVAÍ;PR;23° 5' 24'' S;52° 29' 19'' W;474 m;VFR Diurno/Noturno
SSPL;PALMEIRA DAS MISSÕES;PALMEIRA DAS MISSÕES;RS;27° 54' 6'' S;53° 19' 44'' W;635 m;VFR Diurno
SSPM;PORTO MURTINHO;PORTO MURTINHO;MS;21° 42' 46'' S;57° 52' 45'' W;81 m;VFR Diurno
SSPN;PARANAÍBA;PARANAÍBA;MS;19° 39' 4'' S;51° 11' 58'' W;442 m;VFR Diurno
SSPS;SÃO SEBASTIÃO;PALMAS;PR;26° 28' 20'' S;51° 58' 32'' W;1100 m;VFR Diurno
SSPT;BRASÍLIO MARQUES;PALOTINA;PR;24° 20' 41'' S;53° 49' 44'' W;372 m;VFR Diurno
SSQC;AGUINALDO PEREIRA LIMA;SIQUEIRA CAMPOS;PR;23° 40' 28'' S;49° 49' 8'' W;705 m;VFR Diurno
SSQP;MONTE SANTO;MONTE SANTO;BA;10° 27' 55'' S;39° 17' 10'' W;443 m;VFR Diurno
SSQT;MAJOR NEODO S. PEREIRA;CASTRO;PR;24° 48' 27'' S;49° 57' 37'' W;1010 m;VFR Diurno
SSQZ;LUIS EDUARDO MAGALHÃES;LUIS EDUARDO MAGALHÃES;BA;12° 6' 23'' S;45° 53' 42'' W;775 m;VFR Diurno
SSRB;RIO BRILHANTE;RIO BRILHANTE;MS;21° 50' 52'' S;54° 31' 40'' W;312 m;VFR Diurno
SSRE;REALEZA;REALEZA;PR;25° 48' 4'' S;53° 30' 47'' W;501 m;VFR Diurno
SSRF;CASTRO ALVES;CASTRO ALVES;BA;12° 46' 7'' S;39° 26' 57'' W;265 m;VFR Diurno
SSRG;AEROPORTO ESTADUAL DE REGISTRO;REGISTRO;SP;24° 31' 54'' S;47° 50' 25'' W;25 m;VFR Diurno
SSRK;CAMPO ALEGRE DE LOURDES;CAMPO ALEGRE DE LOURDES;BA;9° 30' 49'' S;42° 59' 45'' W;489 m;VFR Diurno
SSRS;BARREIRINHAS;BARREIRINHAS;MA;2° 45' 24'' S;42° 48' 16'' W;4 m;VFR Diurno
SSRU;SÃO LOURENÇO DO SUL;SÃO LOURENÇO DO SUL;RS;31° 23' 0'' S;52° 1' 58'' W;8 m;VFR Diurno
SSRZ;ROSÁRIO DO SUL;ROSÁRIO DO SUL;RS;30° 16' 39'' S;54° 55' 31'' W;106 m;VFR Diurno
SSSB;SÃO BORJA;SÃO BORJA;RS;28° 39' 11'' S;56° 1' 58'' W;75 m;VFR Diurno
SSSC;SANTA CRUZ DO SUL;SANTA CRUZ DO SUL;RS;29° 41' 1'' S;52° 24' 44'' W;197 m;VFR Diurno
SSSD;SOLEDADE;SOLEDADE;RS;28° 51' 47'' S;52° 32' 26'' W;660 m;VFR Diurno
SSSG;SÃO GABRIEL;SÃO GABRIEL;RS;30° 20' 42'' S;54° 16' 4'' W;144 m;VFR Diurno
SSSQ;ISMAEL NUNES;SÃO JOAQUIM;SC;28° 15' 32'' S;49° 54' 57'' W;1360 m;VFR Diurno
SSSS;SÃO FRANCISCO DO SUL;SÃO FRANCISCO DO SUL;SC;26° 13' 16'' S;48° 33' 52'' W;15 m;VFR Diurno
SSST;SANTIAGO;SANTIAGO;RS;29° 12' 54'' S;54° 50' 32'' W;445 m;VFR Diurno
SSSZ;SERTANÓPOLIS;SERTANÓPOLIS;PR;23° 3' 43'' S;51° 0' 50'' W;361 m;VFR Diurno
SSTB;TRÊS BARRAS;TRÊS BARRAS;SC;26° 7' 58'' S;50° 18' 35'' W;780 m;VFR Diurno
SSUM;ORLANDO DE CARVALHO;UMUARAMA;PR;23° 47' 57'' S;53° 18' 50'' W;475 m;VFR Diurno/Noturno
SSUV;JOSÉ CLETO;UNIÃO DA VITÓRIA;PR;26° 13' 54'' S;51° 4' 8'' W;752 m;VFR Diurno
SSVI;ÂNGELO PONZONI;VIDEIRA;SC;27° 0' 0'' S;51° 9' 27'' W;840 m;VFR Diurno
SSVL;TELÊMACO BORBA (SBTL*);TELÊMACO BORBA;PR;24° 18' 59'' S;50° 39' 8'' W;796 m;VFR Diurno/Noturno
SSVN;VERANÓPOLIS;VERANÓPOLIS;RS;28° 56' 6'' S;51° 34' 6'' W;650 m;VFR Diurno
SSVP;SANTA VITÓRIA DO PALMAR;SANTA VITÓRIA DO PALMAR;RS;33° 30' 8'' S;53° 20' 39'' W;25 m;VFR Diurno
SBJE;POLO TURÍSTICO DE JERICOACOARA;CRUZ;CE;2° 54' 24'' S;40° 21' 29'' W;27 m;VFR Diurno/Noturno
SSWS;CAÇAPAVA DO SUL;CAÇAPAVA DO SUL;RS;30° 32' 58'' S;53° 27' 33'' W;400 m;VFR Diurno
SSXD;SARANDI;SARANDI;RS;27° 58' 52'' S;52° 51' 49'' W;620 m;VFR Diurno
SSXX;MUNICIPAL JOÃO WINCKLER;XANXERÊ;SC;26° 52' 32'' S;52° 22' 23'' W;910 m;VFR Diurno/Noturno
SSYA;AVELINO VIEIRA;ARAPOTI;PR;24° 6' 15'' S;49° 47' 26'' W;805 m;VFR Diurno
SSZR;SANTA ROSA;SANTA ROSA;RS;27° 54' 32'' S;54° 31' 20'' W;300 m;VFR Diurno/Noturno
SSZW;COMANDANTE ANTONIO AMILTON BERALDO;PONTA GROSSA;PR;25° 11' 4'' S;50° 8' 38'' W;789 m;VFR Diurno/Noturno
SWAY;ARAGUAIANA;ARAGUAIANA;MT;15° 43' 26'' S;51° 50' 11'' W;303 m;VFR Diurno
SWBA;BURITI ALEGRE;BURITI ALEGRE;GO;18° 7' 32'' S;49° 2' 34'' W;868 m;VFR Diurno
SWBC;BARCELOS;BARCELOS;AM;0° 58' 51'' S;62° 55' 8'' W;34 m;VFR Diurno
SWBE;WALFRIDO SAMITO DE ALMEIDA;SÃO BENEDITO;CE;4° 3' 0'' S;40° 53' 0'' W;884 m;VFR Diurno/Noturno
SWBG;PONTES E LACERDA;PONTES E LACERDA;MT;15° 11' 36'' S;59° 23' 7'' W;247 m;VFR Diurno
SWBH;BREJINHO DE NAZARÉ;BREJINHO DE NAZARÉ;TO;11° 1' 1'' S;48° 36' 2'' W;265 m;VFR Diurno
SWBR;BORBA;BORBA;AM;4° 24' 31'' S;59° 35' 52'' W;90 m;VFR Diurno
SWCA;CARAUARI;CARAUARI;AM;4° 52' 17'' S;66° 53' 51'' W;108 m;VFR Diurno
SWCB;CAMPOS BELOS;CAMPOS BELOS;GO;13° 0' 32'' S;46° 46' 29'' W;670 m;VFR Diurno
SWCQ;COSTA MARQUES;COSTA MARQUES;RO;12° 25' 18'' S;64° 15' 6'' W;169 m;VFR Diurno
SWCW;CAVALCANTE;CAVALCANTE;GO;13° 45' 58'' S;47° 25' 43'' W;800 m;VFR Diurno
SWCZ;CERES;CERES;GO;15° 20' 41'' S;49° 36' 17'' W;598 m;VFR Diurno
SWDM;DIAMANTINO;DIAMANTINO;MT;14° 22' 37'' S;56° 24' 2'' W;450 m;VFR Diurno
SWDN;DIANÓPOLIS;DIANÓPOLIS;TO;11° 35' 43'' S;46° 50' 52'' W;730 m;VFR Diurno
SWEI;EIRUNEPÉ;EIRUNEPÉ;AM;6° 38' 15'' S;69° 52' 59'' W;126 m;VFR Diurno
SWEK;CANARANA;CANARANA;MT;13° 34' 28'' S;52° 16' 14'' W;400 m;VFR Diurno
SWFN;FLORES;MANAUS;AM;3° 4' 22'' S;60° 1' 16'' W;62 m;VFR Diurno
SWFR;FORMOSA;FORMOSA;GO;15° 33' 22'' S;47° 20' 43'' W;965 m;VFR Diurno
SWFX;SÃO FÉLIX DO ARAGUAIA;SÃO FÉLIX DO ARAGUAIA;MT;11° 37' 55'' S;50° 41' 18'' W;198 m;VFR Diurno
SWGI;GURUPI;GURUPI;TO;11° 44' 21'' S;49° 7' 56'' W;350 m;VFR Diurno/Noturno
SWGN;ARAGUAÍNA;ARAGUAÍNA;TO;7° 13' 42'' S;48° 14' 27'' W;235 m;VFR Diurno/Noturno
SWHG;SANTA HELENA DE GOIÁS;SANTA HELENA DE GOIÁS;GO;17° 53' 2'' S;50° 34' 2'' W;485 m;VFR Diurno
SWHP;OLHOS D'ÁGUA;ÁGUA BOA;MT;14° 1' 10'' S;52° 9' 8'' W;459 m;VFR Diurno/Noturno
SWHT;FRANCISCO CORREA DA CRUZ;HUMAITÁ;AM;7° 32' 1'' S;63° 3' 2'' W;70 m;VFR Diurno
SWIA;IACIARA;IACIARA;GO;14° 6' 23'' S;46° 40' 10'' W;565 m;VFR Diurno
SWII;IPIRANGA;SANTO ANTÔNIO DO IÇÁ;AM;2° 56' 1'' S;69° 41' 41'' W;40 m;VFR Diurno
SWIP;IPAMERI;IPAMERI;GO;17° 41' 14'' S;48° 9' 43'' W;832 m;VFR Diurno
SWIQ;MINAÇU;MINAÇU;GO;13° 33' 2'' S;48° 12' 2'' W;427 m;VFR Diurno/Noturno e IFR Diurno
SWJN;JUÍNA;JUÍNA;MT;11° 25' 10'' S;58° 42' 6'' W;330 m;VFR Diurno
SWJW;JATAÍ;JATAÍ;GO;17° 49' 48'' S;51° 46' 31'' W;771 m;VFR Diurno/Noturno
SWKC;CÁCERES;CÁCERES;MT;16° 2' 34'' S;57° 37' 47'' W;150 m;VFR Diurno/Noturno
SWKO;COARI;COARI;AM;4° 8' 2'' S;63° 7' 52'' W;40 m;VFR Diurno
SWKQ;SERRA DA CAPIVARA/SÃO RAIMUNDO NONATO;SÃO RAIMUNDO NONATO;PI;9° 4' 58'' S;42° 38' 40'' W;415 m;VFR Diurno/Noturno
SWKT;CATALÃO;CATALÃO;GO;18° 13' 1'' S;47° 54' 5'' W;796 m;VFR Diurno/Noturno
SWLB;LÁBREA;LÁBREA;AM;7° 15' 1'' S;64° 47' 2'' W;58 m;VFR Diurno
SWLC;GENERAL LEITE DE CASTRO;RIO VERDE;GO;17° 50' 5'' S;50° 57' 22'' W;751 m;VFR Diurno/Noturno
SWME;MINEIROS;MINEIROS;GO;17° 33' 7'' S;52° 33' 22'' W;825 m;VFR Diurno
SWML;MONTE ALEGRE DE GOIÁS;MONTE ALEGRE DE GOIÁS;GO;13° 14' 59'' S;46° 52' 17'' W;555 m;VFR Diurno
SWMW;MAUÉS;MAUÉS;AM;3° 21' 25'' S;57° 42' 44'' W;21 m;VFR Diurno
SWMX;MORRINHOS;MORRINHOS;GO;17° 45' 57'' S;49° 7' 22'' W;850 m;VFR Diurno
SWNH;ARUANÃ;ARUANÃ;GO;14° 55' 59'' S;51° 2' 54'' W;250 m;VFR Diurno/Noturno
SWNK;NOVO CAMPO;BOCA DO ACRE;AM;8° 50' 1'' S;67° 18' 44'' W;120 m;VFR Diurno
SWNO;NOVA OLINDA DO NORTE;NOVA OLINDA DO NORTE;AM;3° 53' 16'' S;59° 4' 42'' W;37 m;VFR Diurno
SWNQ;NIQUELÂNDIA;NIQUELÂNDIA;GO;14° 26' 11'' S;48° 29' 31'' W;840 m;VFR Diurno
SWNR;NORTELÂNDIA;NORTELÂNDIA;MT;14° 29' 1'' S;56° 46' 2'' W;445 m;VFR Diurno
SWNS;ANÁPOLIS;ANÁPOLIS;GO;16° 21' 45'' S;48° 55' 41'' W;1112 m;VFR Diurno/Noturno
SWNV;AERÓDROMO NACIONAL DE AVIAÇÃO;GOIÂNIA;GO;16° 37' 41'' S;49° 20' 44'' W;825 m;VFR Diurno
SWOB;FONTE BOA;FONTE BOA;AM;2° 32' 1'' S;66° 4' 2'' W;63 m;VFR Diurno
SWPG;PORTO DOS GAÚCHOS;PORTO DOS GAÚCHOS;MT;11° 31' 1'' S;57° 20' 2'' W;400 m;VFR Diurno
SWPI;PARINTINS;PARINTINS;AM;2° 40' 10'' S;56° 46' 16'' W;26 m;VFR Diurno/Noturno
SWPK;POCONÉ;POCONÉ;MT;16° 16' 18'' S;56° 39' 4'' W;187 m;VFR Diurno
SWPL;POSTO LEONARDO VILAS BOAS;GAÚCHA DO NORTE;MT;12° 11' 54'' S;53° 22' 54'' W;330 m;VFR Diurno
SWPM;PIMENTA BUENO;PIMENTA BUENO;RO;11° 38' 30'' S;61° 10' 52'' W;208 m;VFR Diurno/Noturno
SWPR;PIRES DO RIO;PIRES DO RIO;GO;17° 19' 9'' S;48° 20' 5'' W;781 m;VFR Diurno
SWPV;PLANALTINA;BRASÍLIA;DF;15° 40' 44'' S;47° 32' 39'' W;1160 m;VFR Diurno
SWPY;PRIMAVERA DO LESTE;PRIMAVERA DO LESTE;MT;15° 33' 56'' S;54° 20' 16'' W;655 m;VFR Diurno
SWPZ;ORIÇANGA DE ABREU;POSSE;GO;14° 7' 26'' S;46° 20' 31'' W;827 m;VFR Diurno
SWQI;CARACARAÍ;CARACARAÍ;RR;1° 50' 39'' N;61° 7' 17'' W;55 m;VFR Diurno
SWRO;AEROCLUBE DE RONDÔNIA;PORTO VELHO;RO;8° 47' 37'' S;63° 51' 29'' W;95 m;VFR Diurno
SWSI;PRESIDENTE JOÃO BATISTA FIGUEIREDO;SINOP;MT;11° 53' 6'' S;55° 35' 10'' W;374 m;VFR Diurno/Noturno
SWST;SANTA TEREZINHA;SANTA TEREZINHA;MT;10° 27' 53'' S;50° 31' 7'' W;202 m;VFR Diurno
SWTO;PARAÍSO DO TOCANTINS;PARAÍSO DO TOCANTINS;TO;10° 10' 26'' S;48° 55' 58'' W;330 m;VFR Diurno
SWTP;SANTA IZABEL DO RIO NEGRO;SANTA IZABEL DO RIO NEGRO;AM;0° 25' 1'' S;65° 2' 2'' W;68 m;VFR Diurno
SWTS;TANGARÁ DA SERRA;TANGARÁ DA SERRA;MT;14° 39' 43'' S;57° 26' 38'' W;445 m;VFR Diurno
SWTY;TAGUATINGA;TAGUATINGA;TO;12° 26' 2'' S;46° 24' 2'' W;597 m;VFR Diurno
SWUA;SÃO MIGUEL DO ARAGUAIA;SÃO MIGUEL DO ARAGUAIA;GO;13° 20' 2'' S;50° 12' 21'' W;381 m;VFR Diurno
SWUC;LUCIÁRA;LUCIÁRA;MT;11° 12' 1'' S;50° 41' 2'' W;210 m;VFR Diurno
SWUD;CLÁUDIO;CLÁUDIO;MG;20° 26' 45'' S;44° 48' 46'' W;820 m;VFR Diurno
SWUZ;BRIGADEIRO ARARIPE MACEDO;LUZIÂNIA;GO;16° 15' 42'' S;47° 58' 7'' W;996 m;VFR Diurno
SWVB;VILA BELA DA SANTÍSSIMA TRINDADE;VILA BELA DA SANTÍSSIMA TRINDADE;MT;15° 0' 55'' S;59° 58' 2'' W;270 m;VFR Diurno
SWVC;VILA RICA;VILA RICA;MT;9° 58' 46'' S;51° 8' 32'' W;272 m;VFR Diurno
SWWA;PORANGATU;PORANGATU;GO;13° 24' 16'' S;49° 9' 26'' W;366 m;VFR Diurno
SWWU;URUAÇU;URUAÇU;GO;14° 31' 32'' S;49° 8' 16'' W;520 m;VFR Diurno
SWXM;REGIONAL ORLANDO VILLAS BOAS;MATUPÁ;MT;10° 10' 13'' S;54° 57' 10'' W;283 m;VFR Diurno
SWXQ;LINS;LINS;SP;21° 39' 46'' S;49° 43' 52'' W;480 m;VFR Diurno/Noturno
SWXU;XAPURI;XAPURI;AC;10° 38' 1'' S;68° 33' 2'' W;150 m;VFR Diurno
SWXV;XAVANTINA;NOVA XAVANTINA;MT;14° 41' 27'' S;52° 20' 57'' W;316 m;VFR Diurno
SWYN;APUÍ;APUÍ;AM;7° 10' 20'' S;59° 50' 20'' W;60 m;VFR Diurno
